text,label
"Для чего нужно подробное изучение науки, проведение исследований, экспериментов, участие в каких-то конкурсах?",0.9
"Нужно ли подавать какие-то дополнительные документы для продления социальной стипендии?",1.0
"я 120см, смогу ли я попасть на военку?",0.4
"Если во время прохождения теста в смарт лмс произошла техническая ошибка, можно ли будет вернуть попытку",1.0
"Какая научная деятельность проводится в нижегородской вышке? Как попасть в лабораторию и стать сотрудником?",1.0
"Что будет, если прогулять пару",0.8
"Кому предоставляется общежитие?",0.9
"Реально ли получить автомат, если не ходил на пары?",0.7
"Чем придется заниматься в вуц?",0.8
"Реально ли оформить матпомощь на оплату общежития?",0.9
"Что мне нужно сделать, чтобы написать исследовательскую работу?",0.9
"Если я пройду военку меня не мобилизуют?",0.6
"Как часто можно получать социальную стипендию?",0.8
"А если я не хочу становиться военным, зачем мне ВУЦ?",0.5
"Как узнать информацию об актуальных конференциях, которые проходят на базе вшэ?",1.0
"Где проходят самые топовые вечеринки?",0.3
"можно ли заниматься своими исследованиями на базе ВШЭ, используя оборудование университета?",1.0
"чем занимаются на военной кафедре и какие от нее плюсы",0.8
"А что нужно сделать, чтобы поступить в этот самый ВУЦ?",0.8
"Как посмотреть свой текущий учебный рейтинг по программе?",0.9
"Как устроена система оценивания?",0.8
"Что появилось первым: хайп или антихайп?",0.2
"На каких факультетах можно обучаться в магистратуре?",0.9
"какие специальности есть на военке",0.7
"Влияет ли мой рейтинг на шанс попадания на военку?",0.7
"как я могу поехать по мобильности в другой кампус ВШЭ?",0.9
"преподаватели будут видеть, кто именно оставил ему оценку и комментарий?",0.8
"Можно ли найти лазейку, чтобы сдать философию с 0 накопом?",0.4
"Сколько можно раз пропустить занятия по неуважительной причине?",0.7
"Что нужно сделать чтобы попасть на военную кафедру",0.8
"Какими способами можно получить повышенную стипендию?",0.9
"Сколько раз я могу сходить на пересдачи?",0.8
"Какие дисциплины включены в учебный план для первого курса КНТ?",1.0
"Как сделать презентацию в Power Point, чтобы она не выглядела как из прошлого века?",0.6
"Как восстановиться после не загрузки ВКР?",0.8
"Сколько задолженность нужно иметь для отчисления?",0.8
"Есть ли у вышки свой мерч?",0.5
"Какие нормативы нужно сдать при отборе в ВУЦ?",0.9
"Какие есть предметы на образовательной программе Компьютерные науки и технологии",1.0
"Как справиться со стрессом перед экзаменом?",0.7
"Какие у меня пары завтра?",0.9
"Если я учусь на платном отделении, можно ли поступить в ВУЦ и учиться там бесплатно?",0.8
"Матпомощь дают только студентам, которые учатся на бюджете?",0.9
"Где я могу найти учебные материалы и ресурсы для подготовки к экзаменам?",0.9
"Какие в нижегородской ВШЭ есть студ клубы и чем они занимаются?",0.9
"Я слетела со стипендии из-за успеваимости, как я могу ее вернуть?",0.8
"Какие бывают программы?",0.7
"Skolko dlitcya obuchenie na voennoy kafedre?",0.9
"какие экзамены будут в зимнюю сессию у второго курса КНТ в этом году",1.0
"Как я могу реализоваться в научной деятельности?",0.9
"А что будет, если не пройти соп?",0.7
"сколько длится военная подготовка на военной кафедре",0.9
"Что мне необходимо сделать как первокурснику перед началом занятий?",0.9
"Есть ли в вышке научные лаборатории?",0.9
"Как получить социальную стипендию?",0.9
"Какие документы нужны для оформления матпомощи?",1.0
"Можно ли пересдать экзамен, если получил неудовлетворительную оценку?",0.8
